,s_city,s_lat,s_lon,e_City,e_lat,e_lon
0,Bacau,46.5219,26.9103,Milan Bergamo/Orio al Serio Apt,45.6689,9.7003
1,Bacau,46.5219,26.9103,Bologna                                 ,44.5306,11.2969
2,Bacau,46.5219,26.9103,Brussels Airport,50.9014,4.4844
3,Bacau,46.5219,26.9103,Dublin,53.4214,-6.27
4,Bacau,46.5219,26.9103,Rome Fiumicino Apt,41.8003,12.2389
5,Bacau,46.5219,26.9103,Liverpool                               ,53.3336,-2.8497
6,Bacau,46.5219,26.9103,London Luton Apt                        ,51.8747,-0.3683
7,Bacau,46.5219,26.9103,Madrid Barajas Apt,40.4722,-3.5609
8,Bacau,46.5219,26.9103,Bucharest Henri Coanda Apt,44.571,26.0851
9,Bacau,46.5219,26.9103,Turin Caselle Airport,45.2025,7.6494
10,Milan Bergamo/Orio al Serio Apt,45.6689,9.7003,Liverpool                               ,53.3336,-2.8497
11,Cluj-Napoca                             ,46.7851,23.6861,Birmingham Airport,52.4539,-1.748
12,Cluj-Napoca                             ,46.7851,23.6861,Dublin,53.4214,-6.27
13,Cluj-Napoca                             ,46.7851,23.6861,Iasi,47.1788,27.62
14,Cluj-Napoca                             ,46.7851,23.6861,Liverpool                               ,53.3336,-2.8497
15,Cluj-Napoca                             ,46.7851,23.6861,London Luton Apt                        ,51.8747,-0.3683
16,Cluj-Napoca                             ,46.7851,23.6861,Nice,43.6653,7.215
17,Cluj-Napoca                             ,46.7851,23.6861,Bucharest Henri Coanda Apt,44.571,26.0851
18,Cluj-Napoca                             ,46.7851,23.6861,Tel Aviv-Yafo Ben Gurion International,32.0106,34.8772
19,Cluj-Napoca                             ,46.7851,23.6861,Timisoara,45.8098,21.3379
20,Iasi,47.1788,27.62,Barcelona Apt         ,41.2971,2.0785
21,Iasi,47.1788,27.62,Milan Bergamo/Orio al Serio Apt,45.6689,9.7003
22,Iasi,47.1788,27.62,Brussels Airport,50.9014,4.4844
23,Iasi,47.1788,27.62,Paris Beauvais-Tille Airport            ,49.4544,2.1128
24,Iasi,47.1788,27.62,Cologne/Bonn Apt                        ,50.8659,7.1427
25,Iasi,47.1788,27.62,Rome Fiumicino Apt,41.8003,12.2389
26,Iasi,47.1788,27.62,London Luton Apt                        ,51.8747,-0.3683
27,Iasi,47.1788,27.62,Munich International Airport            ,48.3538,11.7861
28,Iasi,47.1788,27.62,Bucharest Henri Coanda Apt,44.571,26.0851
29,Iasi,47.1788,27.62,Turin Caselle Airport,45.2025,7.6494
30,Iasi,47.1788,27.62,Timisoara,45.8098,21.3379
31,Larnaca                                 ,34.8789,33.6303,Athens                                  ,37.9367,23.9445
32,Larnaca                                 ,34.8789,33.6303,Birmingham Airport,52.4539,-1.748
33,Larnaca                                 ,34.8789,33.6303,London Luton Apt                        ,51.8747,-0.3683
34,Larnaca                                 ,34.8789,33.6303,Thessaloniki,40.5194,22.9736
35,Liverpool                               ,53.3336,-2.8497,Alicante,38.2822,-0.5582
36,Liverpool                               ,53.3336,-2.8497,Rome Fiumicino Apt,41.8003,12.2389
37,Bucharest Henri Coanda Apt,44.571,26.0851,Malaga                                  ,36.675,-4.4992
38,Bucharest Henri Coanda Apt,44.571,26.0851,Stockholm Arlanda Apt,59.6519,17.9186
39,Bucharest Henri Coanda Apt,44.571,26.0851,Barcelona Apt         ,41.2971,2.0785
40,Bucharest Henri Coanda Apt,44.571,26.0851,Birmingham Airport,52.4539,-1.748
41,Bucharest Henri Coanda Apt,44.571,26.0851,Bordeaux Merignac Apt,44.8286,-0.7153
42,Bucharest Henri Coanda Apt,44.571,26.0851,Brussels Airport,50.9014,4.4844
43,Bucharest Henri Coanda Apt,44.571,26.0851,Paris Beauvais-Tille Airport            ,49.4544,2.1128
44,Bucharest Henri Coanda Apt,44.571,26.0851,Cologne/Bonn Apt                        ,50.8659,7.1427
45,Bucharest Henri Coanda Apt,44.571,26.0851,Copenhagen Kastrup Apt,55.6179,12.656
46,Bucharest Henri Coanda Apt,44.571,26.0851,Catania,37.4664,15.0642
47,Bucharest Henri Coanda Apt,44.571,26.0851,Dublin,53.4214,-6.27
48,Bucharest Henri Coanda Apt,44.571,26.0851,Rome Fiumicino Apt,41.8003,12.2389
49,Bucharest Henri Coanda Apt,44.571,26.0851,Florence                                ,43.8097,11.2039
50,Bucharest Henri Coanda Apt,44.571,26.0851,Glasgow International Airport           ,55.8719,-4.4331
51,Bucharest Henri Coanda Apt,44.571,26.0851,Hamburg Airport,53.6303,9.9883
52,Bucharest Henri Coanda Apt,44.571,26.0851,Helsinki-Vantaa,60.3172,24.9633
53,Bucharest Henri Coanda Apt,44.571,26.0851,Nice,43.6653,7.215
54,Bucharest Henri Coanda Apt,44.571,26.0851,Larnaca                                 ,34.8789,33.6303
55,Bucharest Henri Coanda Apt,44.571,26.0851,Milan Linate Apt                        ,45.4494,9.2783
56,Bucharest Henri Coanda Apt,44.571,26.0851,Lisbon                                  ,38.7742,-9.1342
57,Bucharest Henri Coanda Apt,44.571,26.0851,Liverpool                               ,53.3336,-2.8497
58,Bucharest Henri Coanda Apt,44.571,26.0851,London Luton Apt                        ,51.8747,-0.3683
59,Bucharest Henri Coanda Apt,44.571,26.0851,Lyon St-Exupery Apt,45.7256,5.0811
60,Bucharest Henri Coanda Apt,44.571,26.0851,Madrid Barajas Apt,40.4722,-3.5609
61,Bucharest Henri Coanda Apt,44.571,26.0851,Naples Capodichino Apt,40.8844,14.2908
62,Bucharest Henri Coanda Apt,44.571,26.0851,Oradea                                  ,47.0253,21.9024
63,Bucharest Henri Coanda Apt,44.571,26.0851,Oslo Gardermoen Airport,60.2028,11.0839
64,Bucharest Henri Coanda Apt,44.571,26.0851,Stuttgart Airport,48.6899,9.222
65,Bucharest Henri Coanda Apt,44.571,26.0851,Tel Aviv-Yafo Ben Gurion International,32.0106,34.8772
66,Bucharest Henri Coanda Apt,44.571,26.0851,Turin Caselle Airport,45.2025,7.6494
67,Bucharest Henri Coanda Apt,44.571,26.0851,Valencia,39.4893,-0.4816
68,Sibiu,45.7867,24.0917,Stuttgart Airport,48.6899,9.222
69,Turin Caselle Airport,45.2025,7.6494,Alghero,40.6322,8.2894
70,Turin Caselle Airport,45.2025,7.6494,Stockholm Arlanda Apt,59.6519,17.9186
71,Turin Caselle Airport,45.2025,7.6494,Bari,41.1392,16.7658
72,Turin Caselle Airport,45.2025,7.6494,Paris Charles de Gaulle Apt,49.0097,2.5478
73,Turin Caselle Airport,45.2025,7.6494,Catania,37.4664,15.0642
74,Turin Caselle Airport,45.2025,7.6494,Lisbon                                  ,38.7742,-9.1342
75,Turin Caselle Airport,45.2025,7.6494,London Luton Apt                        ,51.8747,-0.3683
76,Turin Caselle Airport,45.2025,7.6494,Madrid Barajas Apt,40.4722,-3.5609
77,Turin Caselle Airport,45.2025,7.6494,Naples Capodichino Apt,40.8844,14.2908
78,Turin Caselle Airport,45.2025,7.6494,Pescara                                 ,42.4372,14.1872
79,Turin Caselle Airport,45.2025,7.6494,Reggio di Calabria                      ,38.0731,15.6544
80,Turin Caselle Airport,45.2025,7.6494,Lamezia Terme                           ,38.9083,16.2417
81,Turin Caselle Airport,45.2025,7.6494,Sevilla                                 ,37.4179,-5.8989
82,Turin Caselle Airport,45.2025,7.6494,Trapani                                 ,37.9122,12.4936
83,Da Nang,16.0439,108.2004,Vinh City,18.7304,105.6758
84,Hanoi,21.2217,105.8056,Dien Bien Phu                           ,21.3977,103.0091
85,Hanoi,21.2217,105.8056,Dong Hoi                                ,17.515,106.5906
86,Hanoi,21.2217,105.8056,Vinh City,18.7304,105.6758
87,Ho Chi Minh City                        ,10.8206,106.6608,Ca Mau,9.1877,105.175
88,Ho Chi Minh City                        ,10.8206,106.6608,Tamky,15.4058,108.7
89,Ho Chi Minh City                        ,10.8206,106.6608,Con Dao,8.6667,106.6333
90,Ho Chi Minh City                        ,10.8206,106.6608,Rachgia,9.9497,105.1337
91,Cantho,10.0851,105.7119,Phuquoc                                 ,10.2236,103.9664
92,Cantho,10.0851,105.7119,Con Dao,8.6667,106.6333
93,Branson                                 ,36.5321,-93.2005,Austin-Bergstrom International Apt      ,30.195,-97.67
94,Branson                                 ,36.5321,-93.2005,Cincinnati Northern Kentucky Intl Apt,39.0488,-84.6678
95,Branson                                 ,36.5321,-93.2005,Denver Intl Apt                         ,39.8617,-104.6732
96,Branson                                 ,36.5321,-93.2005,Houston Hobby Apt                       ,29.6454,-95.2789
97,Branson                                 ,36.5321,-93.2005,Chicago Midway Apt,41.786,-87.7524
98,Branson                                 ,36.5321,-93.2005,New Orleans Louis Armstrong Intl Apt    ,29.9934,-90.258
99,Chicago Rockford Airport                ,42.1954,-89.0972,FALLON NAS/VAN VOORHIS FLD,39.4166,-118.701
100,Tirana,41.4147,19.7206,Cuneo,44.5483,7.6222
101,Tirana,41.4147,19.7206,Florence                                ,43.8097,11.2039
102,Tirana,41.4147,19.7206,Perugia,43.0983,12.5111
103,Tirana,41.4147,19.7206,Rimini,44.0194,12.6094
104,Tirana,41.4147,19.7206,Venice Treviso/Sant'Angelo Apt,45.6509,12.1979
